"Campaign name",Day,"Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Amount spent (USD)","Link clicks",Frequency,"Reporting starts","Reporting ends"
"C | Medwriter - 2025 July 25 - Set 14",2025-08-20,,"7-day click or 1-day view",,,544,596,29.12,4,1.09558824,2025-08-20,2025-08-20
"C | Medwriter - 2025 July 25 - Stork",2025-08-20,,"7-day click or 1-day view",,,486,539,27.51,5,1.1090535,2025-08-20,2025-08-20
"RC | Medwriter - June 25",2025-08-20,,"7-day click or 1-day view",,,122,134,12.78,2,1.09836066,2025-08-20,2025-08-20
"T | Medwriter - 2025 May 25",2025-08-20,,"7-day click or 1-day view","Link clicks",11,730,734,2.38,11,1.00547945,2025-08-20,2025-08-20
"A | Medwriter - 2025 May 25",2025-08-20,,"7-day click or 1-day view",Reach,6820,6820,7255,1.41,,1.06378299,2025-08-20,2025-08-20
"C | Medwriter - 2024 April",2025-08-20,,"7-day click or 1-day view",,,1316,1723,97.66,15,1.30927052,2025-08-20,2025-08-20
"A | Medwriter - 2025 May 25",2025-08-19,,"7-day click or 1-day view",Reach,12308,12308,12425,2.13,,1.00950601,2025-08-19,2025-08-19
"C | Medwriter - 2024 April",2025-08-19,,"7-day click or 1-day view",,,534,626,53.48,5,1.17228464,2025-08-19,2025-08-19
"T | Medwriter - 2025 May 25",2025-08-19,,"7-day click or 1-day view","Link clicks",3,255,255,0.94,3,1,2025-08-19,2025-08-19
"RC | Medwriter - June 25",2025-08-19,,"7-day click or 1-day view",,,69,79,9.46,1,1.14492754,2025-08-19,2025-08-19
"C | Medwriter - 2025 July 25 - Stork",2025-08-19,,"7-day click or 1-day view",,,513,570,30.29,5,1.11111111,2025-08-19,2025-08-19
"C | Medwriter - 2025 July 25 - Set 14",2025-08-19,,"7-day click or 1-day view",presignup_demo_booked,1,418,503,31.2,1,1.20334928,2025-08-19,2025-08-19
"C | Medwriter - 2025 July 25 - Set 14",2025-08-18,,"7-day click or 1-day view",,,567,682,31.87,6,1.20282187,2025-08-18,2025-08-18
"C | Medwriter - 2025 July 25 - Stork",2025-08-18,,"7-day click or 1-day view",,,553,608,32.62,5,1.0994575,2025-08-18,2025-08-18
"RC | Medwriter - June 25",2025-08-18,,"7-day click or 1-day view",,,133,137,16.77,,1.03007519,2025-08-18,2025-08-18
"T | Medwriter - 2025 May 25",2025-08-18,,"7-day click or 1-day view","Link clicks",19,2665,2665,5.08,19,1,2025-08-18,2025-08-18
"A | Medwriter - 2025 May 25",2025-08-18,,"7-day click or 1-day view",Reach,6646,6646,6898,4.99,,1.03791754,2025-08-18,2025-08-18
"C | Medwriter - 2024 April",2025-08-18,,"7-day click or 1-day view",,,667,829,51.05,9,1.24287856,2025-08-18,2025-08-18
"A | Medwriter - 2025 May 25",2025-08-17,,"7-day click or 1-day view",Reach,1225,1225,1284,2.51,,1.04816327,2025-08-17,2025-08-17
"C | Medwriter - 2024 April",2025-08-17,,"7-day click or 1-day view",,,650,784,59.26,10,1.20615385,2025-08-17,2025-08-17
"T | Medwriter - 2025 May 25",2025-08-17,,"7-day click or 1-day view","Link clicks",9,498,505,3.44,9,1.01405622,2025-08-17,2025-08-17
"RC | Medwriter - June 25",2025-08-17,,"7-day click or 1-day view",presignup_demo_booked,1,98,112,18.49,2,1.14285714,2025-08-17,2025-08-17
"C | Medwriter - 2025 July 25 - Stork",2025-08-17,,"7-day click or 1-day view",,,543,596,35,2,1.09760589,2025-08-17,2025-08-17
"C | Medwriter - 2025 July 25 - Set 14",2025-08-17,,"7-day click or 1-day view",,,465,572,35.8,1,1.23010753,2025-08-17,2025-08-17
"C | Medwriter - 2025 July 25 - Set 14",2025-08-16,,"7-day click or 1-day view",,,390,459,23.45,8,1.17692308,2025-08-16,2025-08-16
"C | Medwriter - 2025 July 25 - Stork",2025-08-16,,"7-day click or 1-day view",,,414,469,25.53,7,1.13285024,2025-08-16,2025-08-16
"RC | Medwriter - June 25",2025-08-16,,"7-day click or 1-day view",,,88,96,7.22,1,1.09090909,2025-08-16,2025-08-16
